,French,English
0,histoire,history
1,chercher,search
2,seulement,only
3,police,police
4,pensais,thought
5,aide,help
6,demande,request
7,mois,month
8,frère,brother
9,laisser,let
10,car,because
11,aucun,no
12,laisse,leash
13,eux,them
14,ville,city
15,parlé,speak
16,arrivé,come
17,devrait,should
18,bébé,baby
19,longtemps,long time
20,heures,hours
21,vont,will
22,pendant,while
23,revoir,meet again
24,aucune,any
25,parle,speak
26,compris,understood
27,savais,knew
28,étaient,were
29,attention,Warning
30,voici,here is
31,pourrais,could
32,affaire,case
33,donner,give
34,type,type
35,leurs,their
36,donné,given
37,corps,body
38,endroit,place
39,yeux,eyes
40,façon,way
41,écoute,listen
42,trouve,find
43,premier,first
44,main,hand
45,première,first
46,côté,side
47,vieux,old
48,sois,be
49,tiens,here
50,matin,morning
51,tellement,so much
52,enfant,child
53,point,point
54,venu,came
55,suite,after
56,pardon,sorry
57,venez,come
58,devant,in front of
59,vers,towards
60,minutes,minutes
61,demandé,request
62,chambre,bedroom
63,mis,placed
64,belle,beautiful
65,droit,law
66,aimerais,would like to
67,aujourd'hui,today
68,mari,husband
69,cause,cause
70,enfin,finally
71,espère,hope
72,eau,water
73,attendez,Wait
74,parti,left
75,nouvelle,new
76,boulot,job
77,dirait,would say
78,terre,Earth
79,compte,account
80,fin,end
81,croire,believe
82,chérie,sweetheart
83,gros,large
84,plutôt,rather
85,aura,will have
86,jouer,to play
87,bureau,office
